shoe_id,n_masks_found,n_valid_masks,fg_area_mean,fg_area_median,fg_area_std,fg_area_min,fg_area_max,frac_tiny,frac_huge,mean_n_components,median_largest_cc_frac,frac_multiblob,frac_boundary_touch,seg_consistency_score,n_registered,registration_rate,cam_center_x,cam_center_y,cam_center_z,n_sparse_points,mean_reproj_error,median_reproj_error,mean_track_length,object_center_x,object_center_y,object_center_z,cam_radius_mean,cam_radius_std,cam_radius_cv,pca_ratio_12,pca_ratio_13,azimuth_coverage,max_azimuth_gap_deg,elevation_range_deg,elevation_mean_deg,orbit_thickness_ratio,verdict,reasons
Air-Jordan-6-Retro-Washed-Denim-2022-Gs,36,36,0.31708170010288067,0.3331704861111111,0.06949037834186131,0.1907340277777778,0.39928310185185184,0.0,0.0,1.0,1.0,0.0,0.0,0.780843932906521,36,1.0,0.0001756059453250389,0.00033155629283415606,-4.0892550125182225e-05,35672,0.3143081064098544,0.2303206682633575,4.674478582641848,-0.10762043406611516,0.12819869525787495,0.008793524196032087,3.708228717988085,0.07732247008339539,0.020851591410291172,0.9994687505955074,4.551125988642503e-07,0.9722222222222222,10.363561407106545,0.15376211035771115,1.9663341125985978,0.0006747996042443775,pass,—
Birkenstock-Boston-Suede-Stone-Coin,36,36,0.19106902649176952,0.1996491898148148,0.03625794907434413,0.12419351851851852,0.23445763888888888,0.0,0.0,1.0,1.0,0.0,0.0,0.810236385561393,36,1.0,9.38481522675579e-05,0.0002309308887926779,-0.00010708153475484188,33453,0.23892778855074812,0.19533651064783294,4.398110782291573,-0.0657951199473954,0.3652321313722384,0.02872364494972173,3.773368853220682,0.053777289432642546,0.014251797670599321,0.9985730955187718,6.775046839897311e-07,0.9722222222222222,10.223749616666503,0.2864446015421329,5.539155048013823,0.0008236946035098224,pass,—
Crocs-Classic-Clog-Cinnamon-Toast-Crunch,36,36,0.23687599665637857,0.25192453703703704,0.04330855179446565,0.1509761574074074,0.2866222222222222,0.0,0.0,1.0,1.0,0.0,0.0,0.8171678329345852,36,1.0,0.0001014392027576373,-0.00010594385085632032,-1.0182022606855215e-05,30280,0.3537935469296285,0.2578143242563494,5.143494055482167,-0.036418782933704555,0.23969504003264291,-0.024683764623178648,3.691495856167085,0.03326546060969931,0.009011376933858771,0.9994252490577369,1.704046799025758e-07,0.9722222222222222,10.136928458919016,0.13650662032573146,3.7164737994928703,0.0004129196975677615,pass,—
Crocs-Classic-Clog-Cinnamon-Toast-Crunch-Gs,36,36,0.2418495820473251,0.25735081018518513,0.04397243059889075,0.1555386574074074,0.28804953703703706,0.0,0.0,1.0,1.0,0.0,0.0,0.8181827306598932,36,1.0,0.03341754016716936,0.0070781738646929215,-0.002708447457747059,31124,0.3526557508504619,0.24637715480558747,4.974264233389024,0.15468532404445962,0.19724958564877623,-0.02144106641887809,3.699753756150026,0.14967619114269254,0.04045571705789577,0.9375082536602183,0.00030445079438355243,0.9722222222222222,19.75667137169235,4.882176589686232,2.938267664028701,0.018020672989332614,pass,—
Crocs-Classic-Clog-Cocoa-Puffs-Kids,36,36,0.23547834362139916,0.24930555555555556,0.03956805915097679,0.15739976851851853,0.28062175925925925,0.0,0.0,1.0,1.0,0.0,0.0,0.831967311547791,36,1.0,0.00038038646421605863,-0.00016751694079902054,-3.129955868659551e-05,30380,0.35530794673477334,0.2613673158183122,5.249934167215273,0.018959752040595784,0.18320213761603374,-0.018749698284388508,3.691142915293333,0.019219704682833124,0.005206979280916233,0.9982017771842778,2.6689199093701786e-07,1.0,10.191344689211135,0.09714831080056818,-2.8438619895021393,0.0005170810252631113,pass,—
Crocs-Classic-Clog-Staple-Sidewalk-Luxe,36,36,0.22921430684156383,0.24094224537037034,0.04217540713377448,0.1504099537037037,0.27986342592592595,0.0,0.0,1.0,1.0,0.0,0.0,0.8160001104864422,36,1.0,0.00022993774278366277,0.0001805618445778625,-0.000533614826103479,30003,0.33166983104359105,0.25929307070654434,5.153584641535846,-0.04499552739137106,0.1802713355285749,-0.029839020548557468,3.7620735288683673,0.03724479203856549,0.009900070201384057,0.9973134955627968,3.345969335484242e-07,1.0,10.320228621084894,0.1169624867368051,-2.749835482772038,0.0005792221085396443,pass,—
Nike-Calm-Slide-Cinnamon-Monarch,36,36,0.212293833590535,0.22394178240740742,0.038373295206612305,0.13006180555555555,0.252525,0.0,0.0,1.0,1.0,0.0,0.0,0.8192444191260619,36,1.0,8.662198349495492e-05,-8.890022992576647e-05,-0.0006849730279376236,30634,0.32582396204729747,0.25677143223501353,5.678265978977606,-0.010593942678550392,0.37544489687252036,-0.007548608752304886,3.7687728197156622,0.02316807337751965,0.0061473785992936505,0.9972389539784351,3.549256058110255e-07,0.9722222222222222,10.333801582926512,0.14849432528888862,5.697152250069809,0.0005965804934595,pass,—
Nike-Cortez-Se-Suede-Pacific-Moss-Infinite-Gold-Muslin-Sail,36,36,0.28380187114197536,0.30536018518518515,0.06653042897424923,0.15963240740740742,0.36300671296296294,0.0,0.0,1.0,1.0,0.0,0.0,0.7655743822035389,36,1.0,-0.001095054175142963,1.586442185740518e-05,0.001388877483278983,29894,0.27392982343340777,0.20886957391624683,4.223054793604068,-0.05003819510713649,0.26449811193471606,-0.01514177575436677,3.7130992228278887,0.04063921986344063,0.010944824639641566,0.9946229924492334,5.969857568511241e-08,1.0,10.34811743487927,0.14822611180407153,4.058905702702717,0.00024499247058314545,pass,—
Ugg-Bailey-Bow-Ii-Boot-Ribbon-Red-Kids,36,36,0.3378809413580247,0.35435972222222223,0.07277095761262571,0.20236064814814814,0.4244747685185185,0.0,0.0,1.9166666666666667,0.999999378758686,0.5277777777777778,0.0,0.7846254443350911,36,1.0,-0.00038360893962172436,0.0004069187919031911,-0.0005824312410112794,31246,0.22046151006629716,0.17530217594556358,4.1548678230813545,-0.054126098784580405,0.16319372612203636,0.022761712830789756,3.74476559097318,0.0424439963248661,0.011334219804619563,0.9974264585037547,3.1955222370897244e-07,1.0,10.47552295912871,0.1325289503339362,-2.477389729165166,0.0005660183094977447,borderline,frac_multiblob=0.53 > 0.50
Ugg-Classic-Short-Ii-Boot-Rock-Rose-Toddler,36,36,0.23847941743827158,0.24400034722222222,0.03980493826451424,0.17110671296296295,0.29501828703703703,0.0,0.0,1.0555555555555556,1.0,0.05555555555555555,0.0,0.8330885797520978,36,1.0,-0.0001089209652406035,0.0006911800459233542,-0.000459162269262471,29028,0.30613318630889985,0.19733698752267292,4.130976987735979,-0.09587272046103723,0.1004775652837376,-0.00010709989138938826,3.749568232633313,0.06867280447269909,0.018314856594693927,0.9983561256809699,9.347642211066621e-07,1.0,10.34739040851943,0.15751859714675986,1.4985971819107666,0.0009676277105024618,pass,—
